ds,y
2022-07-22 08:00:00,31
2022-07-22 09:00:00,39
2022-07-22 10:00:00,44
2022-07-22 11:00:00,85
2022-07-22 12:00:00,99
2022-07-22 13:00:00,139
2022-07-22 14:00:00,124
2022-07-22 15:00:00,190
2022-07-22 16:00:00,256
2022-07-22 17:00:00,210
2022-07-22 18:00:00,186
2022-07-22 19:00:00,116
2022-07-22 20:00:00,112
2022-07-22 21:00:00,119
2022-07-22 22:00:00,155
2022-07-22 23:00:00,214
2022-07-23 00:00:00,196
2022-07-23 01:00:00,208
2022-07-23 02:00:00,167
2022-07-23 03:00:00,137
2022-07-23 04:00:00,140
2022-07-23 05:00:00,90
2022-07-23 06:00:00,58
2022-07-23 07:00:00,54
2022-07-23 08:00:00,34
2022-07-23 09:00:00,38
2022-07-23 10:00:00,34
2022-07-23 11:00:00,57
2022-07-23 12:00:00,49
2022-07-23 13:00:00,90
2022-07-23 14:00:00,107
2022-07-23 15:00:00,122
2022-07-23 16:00:00,181
2022-07-23 17:00:00,158
2022-07-23 18:00:00,137
2022-07-23 19:00:00,90
2022-07-23 20:00:00,89
2022-07-23 21:00:00,104
2022-07-23 22:00:00,143
2022-07-23 23:00:00,208
2022-07-24 00:00:00,152
2022-07-24 01:00:00,149
2022-07-24 02:00:00,146
2022-07-24 03:00:00,148
2022-07-24 04:00:00,104
2022-07-24 05:00:00,71
2022-07-24 06:00:00,42
2022-07-24 07:00:00,45
2022-07-24 08:00:00,59
2022-07-24 09:00:00,72
2022-07-24 10:00:00,52
2022-07-24 11:00:00,33
2022-07-24 12:00:00,41
2022-07-24 13:00:00,109
2022-07-24 14:00:00,103
2022-07-24 15:00:00,140
2022-07-24 16:00:00,147
2022-07-24 17:00:00,188
2022-07-24 18:00:00,179
2022-07-24 19:00:00,209
2022-07-24 20:00:00,198
2022-07-24 21:00:00,167
2022-07-24 22:00:00,230
2022-07-24 23:00:00,201
2022-07-25 00:00:00,244
2022-07-25 01:00:00,269
2022-07-25 02:00:00,352
2022-07-25 03:00:00,243
2022-07-25 04:00:00,184
2022-07-25 05:00:00,99
2022-07-25 06:00:00,73
2022-07-25 07:00:00,17
2022-07-25 08:00:00,12
2022-07-25 09:00:00,48
2022-07-25 10:00:00,57
2022-07-25 11:00:00,94
2022-07-25 12:00:00,143
2022-07-25 13:00:00,134
2022-07-25 14:00:00,156
2022-07-25 15:00:00,185
2022-07-25 16:00:00,214
2022-07-25 17:00:00,154
2022-07-25 18:00:00,170
2022-07-25 19:00:00,124
2022-07-25 20:00:00,107
2022-07-25 21:00:00,157
2022-07-25 22:00:00,188
2022-07-25 23:00:00,213
2022-07-26 00:00:00,254
2022-07-26 01:00:00,274
2022-07-26 02:00:00,310
2022-07-26 03:00:00,216
2022-07-26 04:00:00,206
2022-07-26 05:00:00,91
2022-07-26 06:00:00,39
2022-07-26 07:00:00,19
2022-07-26 08:00:00,33
2022-07-26 09:00:00,52
2022-07-26 10:00:00,69
2022-07-26 11:00:00,89
2022-07-26 12:00:00,97
2022-07-26 13:00:00,154
2022-07-26 14:00:00,152
2022-07-26 15:00:00,195
2022-07-26 16:00:00,180
2022-07-26 17:00:00,180
2022-07-26 18:00:00,169
2022-07-26 19:00:00,137
2022-07-26 20:00:00,140
2022-07-26 21:00:00,310
2022-07-26 22:00:00,340
2022-07-26 23:00:00,409
2022-07-27 00:00:00,282
2022-07-27 01:00:00,305
2022-07-27 02:00:00,352
2022-07-27 03:00:00,271
2022-07-27 04:00:00,169
2022-07-27 05:00:00,80
2022-07-27 06:00:00,36
2022-07-27 07:00:00,38
2022-07-27 08:00:00,22
2022-07-27 09:00:00,28
2022-07-27 10:00:00,60
2022-07-27 11:00:00,85
2022-07-27 12:00:00,116
2022-07-27 13:00:00,123
2022-07-27 14:00:00,136
2022-07-27 15:00:00,217
2022-07-27 16:00:00,239
2022-07-27 17:00:00,194
2022-07-27 18:00:00,166
2022-07-27 19:00:00,132
2022-07-27 20:00:00,163
2022-07-27 21:00:00,61
2022-07-27 22:00:00,16
2022-07-27 23:00:00,31
2022-07-28 00:00:00,20
2022-07-28 01:00:00,354
2022-07-28 02:00:00,366
2022-07-28 03:00:00,317
2022-07-28 04:00:00,164
2022-07-28 05:00:00,64
2022-07-28 06:00:00,36
2022-07-28 07:00:00,32
2022-07-28 08:00:00,23
2022-07-28 09:00:00,18
2022-07-28 10:00:00,61
2022-07-28 11:00:00,75
2022-07-28 12:00:00,94
2022-07-28 13:00:00,129
2022-07-28 14:00:00,138
2022-07-28 15:00:00,159
2022-07-28 16:00:00,176
2022-07-28 17:00:00,171
2022-07-28 18:00:00,161
2022-07-28 19:00:00,122
2022-07-28 20:00:00,134
2022-07-28 21:00:00,191
2022-07-28 22:00:00,199
2022-07-28 23:00:00,216
2022-07-29 00:00:00,324
2022-07-29 01:00:00,300
